,text
1,Наймитові з хазяїном не брататися.
0,Заробив у пана плату: з чотирьох дощок хату
4,"Робила цілий вік панам, та, мабуть, ляжу, як кістка, гола."
2,"Доробився хліба, аж зійшов на діда."
3,Заробітки бодай не ліждали наші дітки!
5,"Та допіру робота: ціле життя роби, а на старість милостиньку проси!"
6,"Забудь ласощі паслін і цибулю, а за свою гірку працю візьми під ніс дулю!"
8,"За що найнявся2»«Сорок грошей; справний харч і босий дохід, дають рано води, а ввечері пити»."
9,"Заробив три вирви в шию, а четверту навздогінці!"
7,Заробив води до хліба!
10,Заробив на сіль до оселедця!
