,text
0,Дрібна австрійська монета.
1,Панщинаяк гадюка: життя наше отруїла.
2,"Багатого й серп голить, а убогого й бритва не хоче."
5,"Бідний до бідних рідний, а багатий нікому не радий."
3,"Багач норовить, як би бідного з ніг збить."
4,"Багач все нарікає, що мало має."
7,"Багач чуже загрібає, бо своєму ліку не знає."
10,"Багач - як собака: на свому лежить, а хвіст перекинув на чуже."
9,"Всяк знає, як багач дбає: не своїм горбом, а чужим трудом."
11,"Якби той грайцар! потиснув, то з нього кров потекла б."
8,"Цар У державі, як кіт гу коморі: кого піймав, того і з'Їв."
6,За царя нема Й сухаря.
