,text
0,"Заправив, як за рідного батька."
1,Без бариша голодна душа.
3,"Крамар як комар: де сяде, там і п'є.."
2,"Три пани, два отамани, а один підданий."
4,Казенна палата від селян багата.
6,Аж гарчить - так на меншого кричить.
5,Панська собака по-панськи гавкає.
9,"Доти чоловік добрий, доки його десятником не наставлять."
7,"Один дідько, що осадник, Що наш війтко."
8,І малі камінці роблять синці.
10,"Що малий пан вліпить, то Й великий ке відійме."
12,"Ж» . Рад бідняк пану, як сирота трясці."
11,"за У, лізе чор у Х У! » не"
