,text
3,У сильного завжди безсильний винен.
0,"Багатому й гріхи прощають, а вбогого і так карають."
1,Панська ласка на бистрім коні їздить.
2,У пана ласка до порога.
6,Панська ласка що вовча дружба.
7,"Круки на стерво летять, а пани на люд. ську біду. Ф"
11,Бодай ніхто не діждав з багатими знаться!
4,Лиха зазнали від панів та й від підпанків.
10,"Панська рука далеко сягає, навіть там, де її не видно. РР"
5,"Лучче ціпом бухать, як панів слухать."
12,"Не вір багатому ніколи, бо за його порадою лишишся голий."
8,Пани мужикові чужі люди.
9,"Де є такий багач, щоб не хотів більше, як має? -"
