,text
0,Всі попи одним миром мазані.
1,"Попам хоч давай, хоч робине віддаси, не відробиш і жодним способом не вгодищ."
3,"Один чорт піп, що стрижений, що кудлатий,- усі люблять брати."
2,"Буде гарно на світі, як попові всипать, а пана засипать. ."
5,о Богу ся молить та й хлопа неволить.
4,До церкви дзвонять і на панщину гонять.
6,"У бога повір, то пан сам знайдеться."
8,"Піп і торговець, як пара овець."
7,"Де піп церкву ставить, там пан корчму."
9,"У попа душа божа, а тіло панське."
10,"Попівські очі, а панська кишеня. й"
11,"Молитва мужикові голитва: бога не вмолить, а мужика оголить. -"
