,text
0,"Не йде на ум ні Їда, ні вода, коли перед очима біда."
1,"Хоч плач і не втирайся, а в тугу не вда: вайся."
3,"Біда не дуда: стань в неї дуть, то сльози йдуть."
2,"Той біди не бачив, хто сльозами не вмивався."
5,Біда біду бачить по сліду.
4,Біда ще й за горе зачепилася.
6,Біда бідою Їде й бідою поганяє.
8,"Як одна біда йде, то й другу за собою веде."
7,За злиднями добра не доробишся.
9,"Уклюнулись злидні на час,.а не виженеш і за рік."
10,"Просились злидні на три дні, та чорт їх довіку викишкає."
11,"Біда як іде до кого в гості, то з собою і злидні бере."
