,text
3,"Краще без вечері лягати, та без боргів вставати."
2,Загряз в борги по самі вуха.
5,"Де тонко - там і рветься, де благе - там і дереться."
1,"Пив би пиво, та в кишені диво."
0,У кишені вітер гуляє.
6,"У його грошей, як у жаби пір'я."
9,"У кого грошей нема, тому й світ, як тюрма."
8,Бідна душа без гроша.
4,"До неба високо, до царя далеко, а до шинку близько. -"
11,"Гірка горілка, та й життя не солодке."
10,"Є» слово, як мед, солодке; «немає» слово, як полин, гірке."
7,"Нема що Їсти, нема пити, немає й роду, щоб поговорити."
