,text
0,Доки сонце зійде - роса очі виїсть.
2,"В добрім житті кучері в'ються, а в поганім січуться."
1,Журба сорочки не дасть.
3,"Журба - не сонце, а сушить добре."
4,"Радість красить, а печаль палить."
5,"Добро пушить, а лихо сушить."
6,"Лихо приходить пудами, а сходить золотниками."
7,"Ти хочеш на гору, а лихо за ногу."
8,"Лихо як наскочить, то й почне торочить."
9,"Не так скоро лихо вилізе, як влізе."
10,"Відходить лихо пішки, а приїздить верхи."
11,"Лихо до нас біжить бігом, а від нас навкарачки лізе."
12,Лихо приходить тихо.
