,text
2,"Піп у дзвін, а чорт у калатало."
0,"Піп гроші збирає, а чорт калитку шиє."
1,"В кого гроші, тому й боги хороші."
6,"В кого гроші, за того й бог."
7,"Богові потрібна не душа, а гроші."
4,"Святий кріпкий, святий боже!» як заплатиш, то поможе."
8,"Убрався піп у ризи, а чорт у рядно, та Й тягнуть в одно."
3,Всюди коло церкви чорт каплицю ставить.
10,"Воля то божа, та я на це не згожа."
5,Свята Варвара по світу брикала.
9,Святий на святого кривиться.
11,"Побожний: свічки поїв, а очима світигь."
