,text
2,"Ні шорстинки у дворі: голий, як бубон!"
0,"Як настане лютий, то спитається, чи вдягнені, узуті."
1,"Їде зима, а кожуха нема."
7,"Вербові дрова, а козиний кожух, то випре й дух. Ж"
4,"Лиха тому зима, в кого кожуха нема, чоботи ледащо і їсти нема що!"
5,"Держись, Хома, іде зима!"
3,"Одна на мені, а друга в пранні."
9,"В убогого тоді неділя, коли сорочка біла."
8,Аж скриня тріщить з наготи.
6,"Дожились, що ні свитки, ні чобіт."
10,Хоч живий у яму лізь!
11,Хоч з мосту та в воду!
12,"Хоч сядь та плач, хоч стоячи кричи!"
