,text
1,"Тоді пани добрі, як сплять."
7,Царський маніфест спиною читають.
2,"Пан би землею удавився, аби лише хлоп її не мав. -"
4,"Хто багатий, той не-любить дати."
3,"Панського роду, а псячого ходу."
0,Не нашого поля ягода.
5,Панська свора - вовча потвора.
10,"Про вовка помовка, а чорт пана несе."
8,"Більше панів, ніж курей."
12,"Нема добра в нашім селі, бо панів багато."
11,"Багатому щастя, а вбогому трясця."
6,З насилу пани розживаються.
9,Велика риба маленьку цілою ковтає.
13,"Де один панує, там сотня бідує."
