,text
0,"Бідаку не первина, що ні з чим до млина."
1,В чужій кошарі овець не розведеш.
2,У чужій пасіці бджіл не розведеш.
3,На чужому полі не матимеш волі.
4,На чужій землі не доробиш хліба.
5,Побила лиха година - ота чужа нива та позичений серп!
7,"На чужому коні не наїздишся, а чужим добром не нахвастаєшся."
10,"Проханим конем не наробишся ні вночі, ні вдень."
8,"На нашій ниві колосся, як у шолудивого волосся."
9,"Хто б його рад чуже орать, та от горе - свого плуг не оре!"
12,"Дожились до того, що хоч серед хати орати."
6,Там того поля на заячий скік!
11,Ї курці носом ніде клюнуть.
