,text
3,"Тіло в злоті, а душа в мерзоті."
1,"Як багатий, так і клятий."
4,"Тому багатий, бо свинуватий."
11,"Якби не був свинуватий, то не був би і багатий."
9,"Легше з ведмедем борюкатися, ніж з паном рахуватися."
8,Панам лихо розкидати не плугом орати.
5,"До вбогого йди сорочки позичати, а до багатого нікбли!"
6,3 хлопами мирно живемо лани хлопами оремо.
7,Добрий був пан - бог його взяв та чорту подарував.
0,"Пан добрий, як отець: взяв корову і овець, а пані - як мати: наказала теля взяти."
10,Добрий пан: взяв у дітей хліб та й кинув псам.
2,Добра пані за рабами.
