,text
2,"Хоч їж, хоч дивись, а щоб ціле було і неголодний буві"
0,З'їж півбіди та напийся води!
3,"Дали кісточку: хоч зараз гризи, хоч на завтра положи!"
5,"Працюй, як коняка, а їж, як Рябко!"
4,"НІ хліба, ні солі, і сам бурлак у неволі."
6,"Бить та лаять є кому, а годувать - так нікому! -"
7,"Як приймали, то й сала давали, а як при». йняли, то й хліба не дали."
9,"Добрий давалець: роботи дає. зверхом, а харч видавцем. РУ"
8,"Плата, як у ката!"
11,Чужа шияне своя: зломиться друга буде. -
12,"Не літа зсушили тіло, а від праці. помарніло."
1,Хоч у воду подивлюся на свою вроду!
10,"Однією рукою воли поганяє, а другою сльози утирає. фе"
