,text
2,"Бідному з багатим судиться, то краще в морі втопиться."
0,Голий голого не позива.
4,Тільки адвокат і маляр можуть зробити з чорного біле. Ф
3,"Писар пише, писар маже, так запише, як хто каже."
1,"Рука руку миє, щоб білі були."
5,Своя рука владика.
8,"Дери з багачів, бо бідний і так обдертий, як липка."
6,"Так не-візьме, як становий карбованця."
9,"Ласий хапунець на чужий гаманець. ,"
7,"Здеруть, як з сидорової кози!"
10,"Хапун такий, що Й й з рідного батька злупить."
11,"Суддящо брюхо: і мовчить, а все просить."
12,"Посадили суддею, а він - свиня свинею."
