,text
0,"Один з сошкою, а семеро з ложкою."
2,"Галушка, лемішка хлібові перемішка."
1,Навчить лихо з' маком коржі Їсти!
5,"Живемо часом з квасом, порою з водою."
3,Не до жиру - буть би живу!
7,"Не красна хата углами, а красна пирогами."
8,"Як хліба ні куска, то і в хаті тоска."
9,"Коли є хліба край, то й під вербою рай."
12,"Риба вода, ягода трава, а хліб всьому голова. 7 Ж"
6,Риба не хліб: ситий не будеш.
4,Від дешевої рибки не побіжиш стрибки.
11,У вбогого щодня піст.
10,"Не замісиш густо, як у коморі пусто."
