,text
0,"У чоботях іде, а сліди босі."
2,"Тільки й має, що на собі."
6,Р Багатий на лати та на дрібні сльози.
4,"На свиті стільки лат, як на селі хат."
3,"Одна нога взута, другая роззута, а якби третя була не знаю, як би й пішла!"
1,Бідному сапоги усе добрі до ноги.
5,"Штани як решето, а чоботи роти пороззявляли."
10,"Дожився: штани одні, а сорочок ще менші!"
9,"Прожив, як у ступі стовк: ні смаку, ні знаку."
7,"Родився без сорочки, так і вмру без штанів,"
12,"Хоч грошей нема, та в одежу вбився: розкрий поли, то й ноги голі."
8,Тягни рядно на двох одно.
11,"Вітром підбито, а морозом підшито."
