,text
0,"Як засинаю, тоді тільки й лихо забуваю."
2,У голоти безліч турботи.
1,"Б'ється, як риба об лід."
3,"Не живе, тільки дні одживає."
4,"Дожились до того, що нема нічого."
6,"Нізавішо і рук зачепити, щоб було як жити."
5,"Маюся, як голий у терну!"
8,"Такий бідний, як мак начетверо!"
9,"Нема у мене ні кола, ні двора увесь туг."
7,"Привикай, коровко, до житньої соломки!"
11,"Багато я маю - аж три клуні хліба: в одпій вітер, в другій мак, а третя стоїть так."
12,"Моє не молочене, а твоє і на тік не волохз чене."
10,У голоти нема що молоти.
