,text
6,Прислів'я виникло в зв'язку з скасуванням в ХУЇ ст. права кріпаків переходити раз на рік в день Юрія (26 листопада за ст. ст.) від одного пана до іншого.
4,"Якби не хлоп та не віл, то би пан не жив."
5,0 Ото налигають та й робити мужика заставляють. |
1,Селянськими мозолями пани живуть.
0,"Бідняк робить, а багачеві родить."
3,Сама земля панові не родить мужик робить.
2,Білі ручки чужу роботу люблять.
9,"От тобі, бабо, й Юр'їв день""."
8,"Хустки поперем, як три дні панщини відбудем. РР"
10,"На панщині конопельки тіпаєм, а прийдем додому голі плечі латаєм."
7,"Іде мужик на панщину сонечко не сходить, повертається додому, як місяць заходить. -"
