,text
0,"Багачеві прибиль, а біднякові загибель."
1,"Багатому дбає, а в себе й сорочки не має."
8,"Багатому пшениця, а вбогому полова."
2,"Пшениця то хлопська мука, мельницька біда, а панська їЇда."
6,Багатий бідного ніколи не розуміє.
3,Ситий голодного не розуміє.
9,Ситий голодному не товариш.
4,"Поки багатий стухне, то убогий опухне."
11,"Одному аж горлом вертає, а другий з голоду здихає."
7,"Багач шукає апетиту, а бідний хліба."
5,"Багач так має, аж йому горлом пхає, а бідняк лиш слинку ковтає."
12,Багач би око вийняв за кавалок хліба.
10,"о Бідний мужик і хліба не Їсть, а багатий 1 мужика з'їсть."
