,text
0,"Багач гроші збирає, а чорт калитку шиє."
2,"За руб свічку бере, а з бідного останню шкуру дере. -"
5,"Зарився в добрі, як свиня в багні."
4,У селі пан - як у городі бур'ян.
3,"С Коли б пан за плуга взявся, то й світу б відцурався. Ся"
7,"Чують, як пісні співаємо, а не чують, як вовками виємо."
6,"Попався, жучку, панові в ручку."
1,За наше жито та ще нас і бито.
9,"Пан з паном погодиться, а Іван в спину дістане. .Ф"
8,"Пани б'ються, а в мужиків чуби тріщать."
12,"Ворон ворона не клює, пан у пана шкуру не здере. г"
11,Ж Від Львова до Кракова скрізь біда однакова. -
10,"Пани однакові, що в нас, що в Кракові."
