,text
2,"Казала кума: «Дам пшона»,- а у неї в самої нема."
1,Прийшов нестаток забрав остаток.
5,Нема й ока запорошить!
7,"Ні в горшку, ні в мішку!"
0,"Молотив цілий день, а віяти нічого."
6,"Поки жнемо доти Й Їмо, а як скосили ці то все й поїли."
4,Від кулешу і ніг не поколишу.
3,Юшка кишки переїла. -
12,"Стало на юшку, а не стало на петрушку."
9,З попелу галушки не вдаються до юшки.
8,Вари воду вода й буде!
10,"Ні хліба куска, ні солі дробка, ні страви ложки, ні води корця!"
11,"Ще то не біда, як у просі лобода, а тоді біда, як і проса нема! -"
