,text
0,5 - 2530
6,"Піди до Кракова - всюди біда однакова, піди й за Карпати - то треба бідувати."
5,Дались мені у знаки оті панські кулаки.
3,"Що вільно панові, то не вільно Іванові."
10,"Годи панові рік, а день не вгодиш пропав навік."
1,"Тільки й ходу, що з мосту та в воду."
2,"Багатому життя, а бідному виття."
4,"о Чий кінь, того Й віз."
7,"за Чия гребля, того Й став."
8,"Чий берег, того й риба."
9,"На чиєму току молотять, тому й хліб возять."
11,"В панські ворота широко увійти, а вузько вийти."
12,"Широкі панські степи, а людям на них тісно."
13,"Не порівняєш горй з долиною, а багатого з убогим."
