,text
0,"Благослови, владико, дерти з бідного лико!"
3,Мало людей мре - попа за серце бере.
2,"Попа журба. брала, як мало людей вмирало."
6,"Родивсь подай, господи, женивсь подай, господи, помер теж подай, господи."
8,"Родись, хрестись, женись, помирай - і за все попові гроші дай. і"
5,"о До церкви, як і до корчми, без грошей не йди."
1,"Піп чекає, аби хто вмер, то б і шкуру здер."
4,"Невдивовижу, що попи багаті, вони готові й кожух з людей зідрати."
7,"Піп дзвонить задля своєї користі: чує, де хаптури поїсти. -"
10,"Всі люди братія, з усіх буду драти я», говорить піп."
9,"Бог дає на всякого долю - як застане, то зніме штани і льолю."
