,text
1,Горе море: всього не вип'єш.
3,"Горе - що море: ні перепливти, ні випливти."
0,"На віку горя море, а радощів і в ложку не збереш."
2,"Всюди біда, лише там добре, де нас нема."
4,"Трудно вийти з біди, як каменю з води."
5,"Кого біда учепиться, то на спину стеребиться."
6,"Од біди тікав, та на другу натрапив."
7,"Біда біду перебуде - одна згине, друга буде."
9,"Впився бідою, похмелився сльозою."
11,"Не за нами одними біда прийшла, та тільки нам від того не легше."
10,Біда вимучить біда й виучить.
8,"Біда здибає легко, а трудно Її збутися."
12,"Не біда, що зайшла в двір, а біда, що не виженеш."
