,text
0,"Коли б не піп та не пан, то не був би й мужик голоштан."
3,"І попи, і пани одного поля бур'яни."
1,Поміщик та піп - одного гніздечка птиці.
2,Піп і пан - то одно.
5,За кого пан - за того й бог.
8,"ПРОТИ РЕАКЦІЙНОЇ, ЕКСПЛУАТАТОРСЬКОЇ РОЛІ РЕЛІГІЇ, ЦЕРКВИ, ДУХОВЕНСТВА"
4,"Як не здохнеш в війта в ямі, так загинеш в криміналі."
7,"Що пан затягне пером, то хлоп не витягне волом."
6,"В землі черви, в воді чорти, в лісі сучки, в суді крючки, - куди втекти?"
9,"Хто має викрути, не піде в некрути."
10,"Велика муха прорветься з павутиння, а маленька ніколи."
