,text
1,"Не йди в суд з одним носом, а йди з підносом."
0,"В суд ногою, а в гаманець рукою."
3,в суд ногою - в кишеню рукою.
2,"Як ідеш у суд, гроші не забудь."
5,"Не ходи до суду, бо хліба не буде."
4,Попадеш в суд - і будеш худ.
6,В суд підеш правди не знайдеш.
7,В суді правди не шукають.
10,"Де суд, там і неправда."
8,"Архієрей не бог, а прокурор не правда."
9,У панів багато куплених брехунів.
12,"Закон у пана, як дишло, Куди направить, туди й вийшло."
11,"ПРОТИ ПАНСЬКОГО СУДУ, СУТЯЖНИЦТВА 1 ХАБАРНИЦТВА"
