,text
1,Гірш всього при старості бідність.
3,Цілий вік з торбою не лаявся.
0,"Гіркий світ: тато осліп, а діти помацки ходять."
5,"Легше десятьом подарувати, чим в одного попросити."
2,"Запросив, як за рідного батька."
7,"Хоч латане, аби не в людей хватане."
6,"З кого ремінь деруть, а з кого лій топлять!"
4,Шерсть стрижуть і шкуру деруть. є
8,"Маємось, як горох при дорозі: хто не хоче, той не скубне."
9,Бідному ніхто не подарує.
10,Кожні ворота для бідного заперті.
11,"Коли бідний, то забуде й брат рідний."
12,"Багатого за стіл саджають, а убогого | так випроводжають."
