,text
0,Вали на сірого - сірий повезе!
2,"Наймають до телят, а роби, що велять!"
1,"Така честь, як собаці в ярмарок: або всюди ганяють, або хазяїн до воза прив'яже."
3,"Від вогню біжу, а в воду скачу!"
4,"Тікав від диму, та впав у вогонь."
5,"Не думав, не гадав, як в біду попав."
8,"Життя вільне, як собаці на прив'язі!"
6,"Слуга на відслузі, як пес на мотузі."
7,Наймит не по своїй волі ходить.
10,"Найнявсь - як продавсь: скажуть дверима скрипати, то скрипай."
9,Як найнявся - так продався!
11,"в Голод не тітка, найми не свій брат."
12,Не вжалуєш батька в наймах!
