,text
5,Поля - що й курці лапою нема де ступити.
3,"Тажко сіяти, як нічого орати."
0,"Тільки й землі маю, що поза нігтями."
1,"Степ без кінця, а коня попасти ніде."
4,"Не все то маємо, про що гадаємо."
6,"Світу багато, а поночі жить."
2,"Скалком світим, лойняк палим та й так своє життя в'ялим."
7,"Звання козаче, а життя собаче!"
11,"Гадка гадку прошибає: журиться, що нічого не має."
8,Без волі плачу доволі.
9,"Бідному Савці нема спокою ні на печі. чі на лавці: на печі печуть, на лавці січуть."
10,На бідного Макара всі шишки летять.
