,text
9,"Бідний тоді їсть курку, як сам хворий або курка слаба."
3,"Ж Бідак живе обачно: раз на тиждень обідає, та Й то не смачно."
8,"Ж. Обмокяк вовк, обкисяк з лис, толоден - як собака!"
12,"Прийшлась ложка до рота, та Їсти чортма чого!"
6,Добре пісні співати пообідавши.
0,На порожній шлунок і душа смутиться.
5,"Спасибі за полудень, що наївся та й голоден!"
10,"Прийшов гість, та на голу кість."
11,Вижене голод на холод.
2,Голод києм не відженеш.
1,Голодному Й опеньки м'ясо.
4,Голодній курці все просо на думці.
7,Голодний з'їсть і холодне.
