,text
0,"А з чого збив маєтки, як не з чужої кривди?"
3,Через золото сльози ЛЛЮТьЬСЯя.
6,Панські шати наші лати.
1,"Як бідний плаче, то ніхто не бачить, а як багатий скривиться, то всяк дивиться."
2,"Пан все баче, не баче, як бідняк плаче."
5,"Пан скаче, а хлоп плаче."
7,"Багатому чорт діти колише, а вбогий і няньки не найде. РО"
8,"У багатого й теля з телям, а в убогого одна корова, та й та ялівка."
10,"Багачеві вітер гроші несе, а бідному половою очі засипає."
4,"Багатому й під гору вода тече, а бідному і в долині треба криницю копати."
11,"Качиного зоба не накормишці, а панської кишені не наповниш."
9,"Гроші йдуть до багатого, а злидні до бідного. УРА"
