,text
0,"Гіркий, як шахтарська доля!"
1,"Санки, кайло і лопата - ось вся «техніка» проклята."
4,Санки з вугіллям потягаєш шахту-катор: гу узнаєш.
3,Вугілля добувати живим не бувати. :
5,В шахту спускаєшся з світом прощаєшся.
2,"Хто на шахті не бував, той і горя не знав."
6,Вугільний пласт щастя не дасть.
9,"Робітники потіють, а пани з того жиріють."
7,"Золото миєм, а самі голодні виєм."
8,"Пани все бачать не бачать, як робітники горюють та плачуть."
10,"На те він і кравець, щоб подертий жупан носити!"
11,"Не той пиво п'є, хто варить!"
