,text
1,Горе тільки рака красить.
0,Лихо нікого не красить.
2,Година горя довша за рік радощів.
3,По горе не треба йти за море - його Й дома хватає.
4,"Канада добрий край, як не маєш грошей, то здихай."
5,"Що таке Америка, спитай у Каленика: їздив по гроші, а привіз гниди Й воші."
7,І в Відні люди бідні.
8,І за морем люди б'ються з торем.
9,І на горах родить горе.
6,Не шукай горя - воно само знайде.
10,"Води хоч топитись, та нема де напитись."
11,"Мало слів, а горя річка."
12,"Бреду горем, мов тим морем."
