,text
2,"Як не вертись, дітись нікуди: на небо високо, а в воду глибоко."
1,Хоч вовком вий!
0,Ложився до самого краю!
3,"Вони такі убогі, що землю держалном мі ряють, а худобу ложкою."
5,"Думала, чого корова не реве, а її дома нема. чо"
4,"Розживемось, як сорока на лозі, а тінь на воді! РУ"
6,Рогатої скотини: вила та граблі. Хорошої одежі: мішок та рядно.
9,"Куди не кинь, то все клин!"
8,До дуги й вудила недостає тільки воза та кобили. РРО
10,"Ні сідла, ні вузди, ні того, що на нього вузду надівать. Ж"
7,"Ні кола, ні двора, ні рогатого вола."
11,"Ані печі, ані лави, і на столі нема страви."
