,text
1,"Старий піп молитву читає, старій бабі баки забиває."
0,"А воно у євангелії більше брехні, піж у небі зірок. Ж"
2,Піп євангелію читає читає та на тарілку поглядає.
3,Піп сповідає: «Чи клала?» питає.
4,"Святий боже, святий крепкий, піп в чужих карманах цепкий."
7,Піп молитву читає і в карман поглядає. Ж
6,"Читає: «Да буде воля твоя», а дума: «Коли б моя»."
9,"У церкві піп прикидається людям братом, а поза церквою стає людям катом."
5,"Слова попа - як у брата, діла ж його - як у ката."
8,"Попи м'яко стелють, та твердо спать."
11,"Піп людей картає, а сам лихо робить."
10,"Піп людей карає, а сам казна-що виробляє."
