,text
0,"Багач Їсть калач, а бідний і хліба не має."
1,"Хліб у пана мужик косить, жінка його снопи носить, а прийдуть вони додому дітки їсти просять."
4,"Гарно було бути панським: ходячи Їсти, сидячи спати, - бодай не казати!"
7,"Панам косять, а собі хліба просять."
3,При панській власті нема чого у рот покласти.
6,"Багатство дме, а бідність удвоє гне."
10,"Щоб панам так легко вмирати, як мужикові орати! -"
5,Бідний з праці рветься багатому черево дметься.
2,"У багатого живіт росте, а у бідного - горб від роботи. Р"
11,"Пану і в будень свято, а в мужика і будень однято."
8,"Пан не жне, не косить, а жупан носить."
9,"Мужик землю засіває, а пан хліб поїдає."
