,text
6,"Я тобі, паничу, штани підтичу!"
1,Пана в ребро - а людям добро.
8,"Раз питався пан Івана, чи він любить свого пана. А Іван відповідає: «Люблю, пане, навіть дуже; щоб вас усі так любили, то ви б давно в землі гнили»."
7,"Хвали сіно в стогу, а пана в гробу."
4,го Чого пан гладок? Поїв та й набок.
5,Панських груш не руш: як погниють самі віддадуть.
2,"Дав пан Омелькові пояс, як той без штанів оставсь."
3,"Казав пан: «Кожух дам», та слово його , тепле."
0,Скільки панові не годи - рябу корову не подарує. й
11,"Дай панові покуштувати, то він і гамкне."
10,Від багача не жди калача.
9,За багачем сам чорт з калачем:
