,text
1,"Колісник по шию в трісках, по коліна в боргах."
2,"Від сокири не збагатієш, а згорбатієш!"
4,"Якби шевцеві не правйло, то б його скривило."
3,"Не буде з швачки багачки, а з ткача багача! РО"
6,На всі руки майстер!
0,Хороший плотник і до коліна кіл заструже.
5,У ремісника золота рука.
8,"Що б то був за швець, коли б усім на один копил чоботи шив!"
10,"Ремесло не коромисло плеч не відтягне, саме прогодує."
7,"Ремесло на плечах не носить, а трапиться, що й пригодиться."
9,"Ремесло на плечах не висить і хліба не просить, а хліб дає."
