,text
1,"Був колись чолов'яга, а тепер сутяга."
0,Суддя в суді - що риба в воді.
2,"Правда твоя, мужичок, але полізай : у мішок. і -"
4,"Не все так робиться, як у параграфі написано."
3,Набий віз людей та дай суду віз грошей невинен будеш.
5,"Коли в кишені вітер віє, то не лізь у суд, Мусіє. '"
6,"Не судись, бо постіл дорожче обійдеться за чобіт. ри"
10,"У кого карман повніший, для того Й суд правіший."
8,"Гроші сила: одних підкуплять, других напоять, а третім лиха накоять."
7,"Де гроші судять, там право в кут."
9,"Де гроші говорять, там правда мовчить."
11,"Золото, єрібло губу затикає."
