,text
0,Пан собакою був собача йому і смерть.
1,"Ліпше бути чоловіком, чим багачем."
2,Заліз в багатство забув і братство.
3,"Забагатів Кіндрат забув, де його і брат."
4,Мужик багатий як віл рогатий.
6,"Сякий-такий торгаш, та все Їсть калач, а хлібороб хліб робить і хліба вволю не Їсть."
5,"Купець бере торгом, піп горлом, а мужик горбом."
7,"Не похвалиш не продаси, не погудиш не купиш."
10,"Крамареві не божиться, то ніколи не розжиться."
8,"Купля руки пече, а продаж гріє."
9,Що ступить - то лупить.
