,text
1,"Біда красить, як кип'яток рака."
0,"Коли біда діє, голова біліє."
2,"Козак з бідою, як риба з водою."
3,"Біда бідака знайде, хоч і сонце зайде."
4,А у нашій школі дітки й стіни голі.
5,"Як село, то й голе: в одній хаті мак, а в другій так."
6,Нема слободи без біди.
7,Гроші-то й роблять біду на світі.
11,"Не ходить біда по лісу, тільки по бідних ліодях. | -"
9,"Тільки й рідні, що лапті одні!"
10,"Бідність - не порок, а гірше нещастя."
12,"Багатому свято, а вбогому діла багато."
8,"Робота мене згорбила, не розкіш."
