,text
0,"І злодій просить бога, щоб украсти."
1,"Боже святий, пропав мій золотий: дав за службу божу, як в болото вкинув."
2,"Чи піп, чи ксьондз, чи яка нечиста сила - та все з хлопа тягне."
3,"Попівське око, ксьондзівське горло - що бачило, то б і жерло.:"
4,"Ой боже, боже, бодай ти не дочекав богувати!"
5,"Один дзвін, що кайданний, що церковний. Ж"
7,"У попа борода, як у святого, а сумління, як у поліцейського."
6,Щоб не сповідався в острог не попався б. « -
8,"Піп грішників сповідає, а поліція все знає."
11,Піп гріхи взнавав та в поліцію передазав.
10,"Піп відсвячував хату й двір, де читали Шевченків твір."
9,"Віри різні, та попи однакові."
