,text
3,"Фальшивий, як святого Юри кінь."
0,"Такий побожний, як у святого Юри кінь."
2,"ну, а мені поки ще до неба, а на землі попоїсти треба."
4,"Дай боже, що нам треба, а посмерті «гоп» до неба!"
1,"Чув єм, що в небі пси брехали."
8,"Що бог у небі робить?» «Драбину: одних підсаджує вгору, а других у долину»."
6,"Що піп, що чорт - один сорт."
5,"Бог мені надопомагав, як сліпому окуляри."
9,"Бог лякає мужика громом, чорт рогом, а піп знов богом і так без кінця."
7,"Святий та божий, на чорта похожий."
10,"Піп з богом говорить, а на чорга дивиться."
11,"Що волиш, бабонько, чи ласку божу, чи миску гожу?"
