,text
3,"Сип, жінко, перцю нехай нам хоч раз на віку гірко буде на серцю!"
6,"Дю о . й ж Вони мотузком хліб ріжуть, бо ножа нема."
2,"Був би горщик та будо б в горщику, ""а по кришка найдеться!"
1,"У піст Їли хрін, а у м'ясниці кислиці."
9,"Вареникихваленики, всі вас хвалять, та Не всі варять!. . ро"
10,"Гречана каша то матір наша, а хлібець житній батько наш рідний."
0,"Ї дурень кашу зварить, як пшоно Є!"
7,"Густенька каша, та не наша, а наш несолений куліш як хочеш, так його і їж!"
5,Добра каша! Крупина за крупиною ганяєгься з дрючиною.
8,"Що ж робить? Хіба круту варить, бо рідкої ні з чого."
4,"Лихо наше ячна каша: з'їв би і такої, та нема ніякої!"
