,text
0,"Розживемся, в пастухи наймемся все село нам буде винне."
1,"Аби шия, а ярмо найдеться."
4,На свої руки найду всюди муки.
3,Ф З розкбші не йдуть у міхоноші. -
2,Недостатки гонять 3 хатки.
5,"ПРО НАЙМИТІВ, РЕМІСНИКІВ, РОБІТНИКІВ"
6,"Хіба ревуть воли, як ясла повні?"
7,"Де щастя упало, там і приятелів мало."
10,"Так воно прилучилося, що щастя за біду зачепилося."
8,"Батько був середній хазяїн: торби по бо» ках, а сам посередині."
12,"А, здорові, діди! Чи не маєте біди? То в мене купіть або й так візьміть."
9,Моє господарство в міх та й на плечі!
11,"Радий старець і тому, що пошив нову торбу."
