,text
6,"Моя мати між двома хлібами вмерла». «Чого ж так?» «Одного не дочекала, а другий вже минувся»."
0,Що варили на вечерю?» - «Шару юшку. Пошарите та й спать поляжете».
2,"Що вечеряв?» - -«Скрутні: покрутився, покрутився та й спати ліг»:"
8,За одним присідом вечеря з обідом.
7,"Казав дід бабі: «Якби сир та масло, то вареників наварили б, тільки що ж борошна нема»."
9,"Вже й дрова, і вода, - коли б сир і мука, то вареників би наварила."
1,"Тату, ідіть обідати!» «А хліб є?» «Нема!» «Ну, я не голодний»."
5,Що татуньо роблять?» «А що ж? Пообідали та й хліб їдять».
3,Що ваші роблять?» «Пообідали та хліб їдять».
4,"Коли ласувать, так ласувать: бий, жінко, ціле яйце в борщ!"
