,text
0,Коза з вовком судилася та й ратичок лишилася.
1,Коза з вовком тягалася тільки шкура з0сталася.
2,Як почалася тяганина - не раз упріла в мене чуприна.
4,"Дмитре, чому тебе в суд визивають?» «Бо пан об мене руку побив»."
5,"Синиця шкоду робить, а журавель попадається."
7,"Хто зробив, а на йому окошилось."
3,"Іноді б'ють Хому за Яремину вину,"
8,"Писар провинився, а шевця повісили."
6,"Пан нашкодив, а старця повісили."
9,"Багатому йти в суд трин-трава, а бідному - з пліч голова."
10,Сильні та багаті рідко винуваті.
11,Трудно позиватись латаній свитині з добрим кожухом.
