,text
0,"Куди не оберни, то все дірки зверху."
5,"Бідному куди не кинь, то все догори діркою."
1,"Багатий! Куди не кинь, то все латкою наверх. Ф"
4,"Поли крає, а плечі латає."
2,От розбагатіла: поли деру та спину латаю!
3,"Голий підперезався, і все на ньому Хоч в дорогу!"
6,"3 голого, як з святого, не візьмеш нічого."
9,"Голий, як пень."
8,"Голий, як палець."
7,Голому й на сіні мулько.
11,"Голий, як мати народила."
10,"Голе, аж ребра світяться."
12,"Голий, як турецький святий."
13,Голого легко голити.
