,text
1,"Їде на попа і з живого, і з мертвого."
3,"Піп дерун: дере і з живого, із мертвого."
2,"Попові йде і печене, і варене, і з живого, із умерлого."
0,"Піп у церкві служить, бо за грішми тужить."
6,"Піп з церкви - з прибутком, а віруючі з убитком."
4,"Попи у церкві богами і чортами людей страхали, а собі кишені грішми набивали."
7,"Богу слава, а попу подавай сала!"
5,"Богові свічку, а чортові дві."
10,"Богові поклони, а попам мільйони."
9,Нехай дзвонить його ніхто на панщину не ГОНИТьЬ.
11,"Куди піп з хрестом, туди чорт з копитом."
8,"Дяк у дзвін, а дідько в клепало."
