,text
4,Бодай ніхто не діждав в чужім кутку сидіти.
1,"Хата чужая, як свекруха лихая."
3,В чужій хаті і тріска б'ється.
0,Чужа хата гірше ката.
8,"Мій батько нікому невинний: у одного позичає, а другому повертає."
2,"Позика не штука, та віддача мука."
9,В борг береш собі на шию ярмо кладеш.
10,Позичка на боржнику верхом їздить.
6,"Голод мутить, а борг крутить."
5,Був голосок та позички з'їли.
7,Станеш позичати будеш бідувати.
11,Без позички жити не тужити.
12,"Як батька чужими пирогами поминать, то лучче без поминок."
