,text
0,"Багач не відає, щоб бідний обідає."
1,"Живемо, хліб жуємо, а іноді ще й присолюємо. чь"
2,"Без солі, без хліба худая бесіда."
3,"Лісу - хоч бийся, води - хоч мийся, а хліба хоч плач."
4,"Аби хліб, а зуби будуть."
5,Без хліба - не до обіда.
6,"Хліб батько, вода мати."
7,Борщ та капуста хата не пуста.
9,"Борщ, каша та ще кваша вся їжа наша."
8,Хліб та каша - то Їда наша.
11,Хліб та вода бідного їда.
10,"Наїлась біди, напилась води."
12,Була в мене шапка пояркова: сім год по яру валялась вона мені на мою голову дісталась.
