,text
0,"Ї голодно, і холодно, і додому далеко."
2,"Хто служить, той тужить."
8,Розірвись надвоє скажуть: чому не начетверо? -
1,"Моя зірко, служить панам гірко!"
6,Служив у дуки натерпівся муки.
3,"Що за сон, як у головах шапка!"
5,"1 Ходячи наїсться, а стоячи виспиться."
9,Не з одної печі хліб Їв.
4,"Нема гірше, як бурлаці: куди не попхнуть, туди Й поточиться."
10,3 хазяйської правди наймитові очі лізуть. фе
7,"Як тут говорити, коли не дають і рота розтулити!"
12,Б'ють і плакать не дають.
11,"Бідному у багатого жить - або плакать, або тужить. Ж"
