,text
0,"Де лихо пристане, там і трава в'яне."
1,"Наберуся три копи лиха, ще Й зверху."
3,"Живемо без змін: багатіти немає змоги, а голіть дальше нікуди."
4,"Живемо добре, горя в людей не позичаєм."
2,"Примостивсь, як сорока на колу."
8,"Живе, як сорока на тину."
6,"Живе, лиха прикупивши."
5,"Змарнів, як полова."
7,"Крутиться, як білка в колесі."
9,"Гірке його життя, як полин."
11,"Лихо не по дереву ходить, а по людях."
12,"Іржа їсть залізо, а горе серце."
10,"Горе не задавить, а з ніг звалить."
