,text
2,"Обмокяк вовк, обкисяк лис, а змерз - як пес, та нічого не заробив! 52"
0,Заробила Гапка бісового батька.
1,У дуки служила болячку заробила.
4,"Робиш, робиш ні за тобою, ні перед тоСою! ."
3,е Ходили три дні та й виходили злидні.
5,"Робити то є що, а заробити то ніде."
6,"Двом панам служить, а сорочки не має."
9,"Отож доробився: ані чобіт, ні халяв!"
7,"Рвали б вас ворони, як ви мою праню рвете!"
12,"Обіцяв хазяїн дати, тільки велів заждати."
8,"Роби, роби, та й нічого не доробишся."
11,"На цій роботі не забагатієш, а згорбатієш."
10,За такої страви ляжеш вздовж лави!
13,"Добре нас годують: черпак юшки, дві га: лушки та й ті розплилися!"
